date,licenses,cut,move,keep,cities,species
2026-06-28,26620,99953,12852,128145,705,376
2026-06-29,26677,100251,12935,128418,708,376
2026-06-30,26803,100469,12984,128694,709,377
2026-07-01,26896,100615,13000,128896,711,378
2026-07-02,26990,101295,13025,130157,711,379
2026-07-06,27145,101681,13097,130772,713,381
2026-07-07,27305,101889,13457,130974,716,382
2026-07-08,27456,102093,13514,131485,716,384
2026-07-09,27509,102197,13526,131897,717,384
2026-07-10,27604,102667,13602,132856,719,384
2026-07-11,27606,102682,13602,132857,720,384
2026-07-12,27612,102689,13602,132857,720,385
2026-07-13,27805,103386,13652,133383,722,385
2026-07-14,27894,103728,13663,134132,726,385
2026-07-15,28076,104043,13674,134671,728,386
2026-07-16,28193,104244,13700,134777,730,386
2026-07-17,28277,104354,13728,134874,730,387
2026-07-18,28282,104358,13735,134875,731,387
2026-07-19,28326,104388,13742,135151,732,387
2026-07-20,28454,104627,13748,135321,736,387
